name,male_count,female_count
FOREST,15036,459
PINK,1089,38
RUBEN,110432,655
SANFORD,14917,0
WARD,14640,33
DOUGLAS,556927,2077
OLE,1933,0
OMER,8184,61
ULYSSES,17068,25
WALKER,22572,288
WILBERT,39801,178
ADELBERT,2373,0
BENJIMAN,4175,0
IVAN,127280,639
JONAS,23064,28
MAJOR,14853,28
ABNER,7440,0
ARCHIBALD,2944,0
CALEB,269516,580
CLINT,31842,54
DUDLEY,11790,120
GRANVILLE,5467,0
KING,20933,10
MERTON,4246,0
ANTONIO,243006,1965
CARROLL,35385,5904
FREEMAN,10684,5
JOSIAH,93425,345
MILO,19700,172
ROYAL,13533,1623
DICK,29271,48
EARLE,11504,285
ELZA,2111,715
EMERSON,21898,16975
FLETCHER,13388,128
JUDGE,3424,0
LAURENCE,39105,454
NEIL,101711,386
ROGER,438793,1689
SETH,159403,494
GLEN,125035,1348
HUGO,30693,30
WASHINGTON,2555,0
ELWOOD,20336,53
GUST,1871,0
HARMON,6431,21
JORDAN,364525,129262
SIMEON,7726,25
WAYNE,351726,1604
WILBER,6604,11
CLEM,4265,54
EVAN,257467,4035
FREDERIC,14079,0
IRWIN,15809,12
JUNIUS,5313,0
LAFAYETTE,4762,21
LOREN,45962,12084
MADISON,7586,365694
MASON,257257,2764
ORVAL,7915,12
